id,ping_id,beam_index,launch_angle_deg,two_way_time_s
P1-A-B01,P1-A,1,2,0.013333333333
P1-A-B02,P1-A,2,20,0.028140179715
P1-A-B03,P1-A,3,35,0.039857383343
P1-A-B04,P1-A,4,50,0.079627980777
P1-A-B05,P1-A,5,60,0.087461360970
P1-A-B06,P1-A,6,64,0.084244145237
P1-B-B01,P1-B,1,-2,0.013333841045
P1-B-B02,P1-B,2,-20,0.028220554771
P1-B-B03,P1-B,3,-35,0.040082960644
P1-B-B04,P1-B,4,-50,0.080394727495
P1-B-B05,P1-B,5,-60,0.088663953282
P1-B-B06,P1-B,6,-64,0.085595724974
P2-A-B01,P2-A,1,1,0.010652463382
P2-A-B02,P2-A,2,20,0.021194278984
P2-A-B03,P2-A,3,35,0.032208246758
P2-A-B04,P2-A,4,50,0.060813510605
P2-A-B05,P2-A,5,57,0.073000000000
P2-A-B06,P2-A,6,64,0.072459566883
P2-B-B01,P2-B,1,-1,0.010652463382
P2-B-B02,P2-B,2,-20,0.021194278984
P2-B-B03,P2-B,3,-35,0.032208246758
P2-B-B04,P2-B,4,-50,0.060813510605
P2-B-B05,P2-B,5,-57,0.071100813617
P2-B-B06,P2-B,6,-64,0.072459566883
GAP-1-B01,GAP-1,1,0,0.026759846234
